covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
Age 	-0.03401992323520244	0.9665522475979117	0.021601016229484585	-0.07635713707445743	0.008317290604052542	0.9264852652300386	1.0083519753599266	0.0	-1.5749223496608697	0.11527436913693721	3.1168563245658683
Baseline PSA	-0.011024119487016443	0.9890364234365068	0.00874582232721376	-0.028165616263541693	0.006117377289508806	0.972227336808187	1.0061361266547757	0.0	-1.2605011941202449	0.20748861739383082	2.26889590098154
Metagene	-0.12563052078233183	0.8819406453314802	0.8053215379097041	-1.7040317310597597	1.452770689495096	0.1819484759684755	4.27494266026429	0.0	-0.15600044810476438	0.8760326680095625	0.19094342472230408
Gleason total	-0.33144333371991996	0.7178868350406259	0.2290021525411103	-0.7802793050826438	0.11739263764280389	0.4582779940551181	1.1245608879545352	0.0	-1.4473371976729323	0.14780250577988618	2.758257366366959
Line of Therapy in Metastatic Setting	0.3119653108912924	1.3661073031627828	0.13464298074158357	0.04806991786666853	0.5758607039159163	1.0492440136629613	1.7786607685656703	0.0	2.316981614437358	0.020504733319236936	5.6078992094120235
ctDNA level	-0.02054931527903959	0.9796603830580782	0.021507782187757153	-0.06270379375437571	0.021605163196296524	0.9392216358049723	1.0218402446733965	0.0	-0.9554362741657692	0.3393571173516352	1.5591238237393652
tumor_fraction	6.155274653282528	471.1962402843547	3.1252569375558665	0.02988361323908517	12.280665693325972	1.0303346096669752	215489.11855913932	0.0	1.9695259545912127	0.04889272513058235	4.354236370789707
Metastatic Disease Burden	1.4052047420340839	4.076361258329942	0.5290505095129918	0.3682847973860546	2.442124686682113	1.4452535848106483	11.49744327435128	0.0	2.656088061095755	0.007905296801323224	6.982964655632032
Race_Caucasian	-0.02274482084957068	0.9775118926042462	0.500225476494172	-1.0031687389275352	0.957679097228394	0.3667155722378188	2.605642008469345	0.0	-0.04546913725581842	0.9637333743477755	0.053294028007972914
