covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
Age 	-0.09867319255205508	0.90603875985979	0.07570119617144155	-0.24704481063468192	0.049698425530571785	0.7811056909053742	1.0509541076531648	0.0	-1.3034561875163573	0.19241906471235187	2.377676347737012
Baseline PSA	-0.17678809119449113	0.8379573362481342	0.11125242527348983	-0.3948388379232649	0.04126265553428263	0.6737886196723363	1.0421257897076617	0.0	-1.589071795602623	0.1120441845570296	3.1578603244724475
Metagene	1.6593909488331604	5.256108630295436	5.072064880570921	-8.281673544336297	11.600455442002616	0.00025311324913883057	109147.4983133465	0.0	0.32716280014272536	0.7435447551953496	0.42750851178234456
Gleason total	2.145218840386029	8.543910785454798	0.8725306304959052	0.43509022920602924	3.855347451566029	1.5451024660306927	47.24502944930305	0.0	2.4586172283336207	0.0139473233309021	6.163867912720743
Line of Therapy in Metastatic Setting	0.46919398919050537	1.598705100183747	0.3333577360037406	-0.18417516734463746	1.1225631457256482	0.8317900886036536	3.072719947461872	0.0	1.4074789288382994	0.15928542112383381	2.650313867163201
ctDNA level	-4.135003007427541	0.01600261700303574	1.7704855248748275	-7.605090871331696	-0.6649151435233849	0.0004979101736868922	0.5143171689978066	0.0	-2.3355192399666094	0.019516311999806482	5.679175737400627
Metastatic Disease Burden	5.688769495132348	295.52974602063733	1.9625462169220849	1.8422495919697295	9.535289398294967	6.310718847221908	13839.600986418543	0.0	2.898667784779205	0.0037475173813029715	8.05984911513166
Race_Caucasian	-10.447821659641205	2.9011401222344215e-05	3.776330245838287	-17.849292935213533	-3.046350384068875	1.7707227715410672e-08	0.047532082063378785	0.0	-2.766659952782268	0.005663379449708759	7.464121090193538
AR/enhancer alterations detected in cfDNA_Yes	8.58290839819713	5339.61268378395	3.156311133806894	2.396652251932834	14.769164544461425	10.986335265013903	2595175.090243376	0.0	2.71928464411083	0.0065423281553151046	7.255980159577645
