covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
Age 	-0.051373400868950245	0.9499239018906869	0.030028716656183507	-0.11022860401702797	0.007481802279127474	0.89562936742088	1.0075098608944861	0.0	-1.710809071768022	0.08711636436275903	3.5209124426214657
Baseline PSA	-0.008013542148741485	0.9920184806842774	0.012568320127476282	-0.03264699694476486	0.01661991264728189	0.9678801639467683	1.0167587917147003	0.0	-0.63759850699718	0.523735067804477	0.9330908881260233
Metagene	-0.7938506449351262	0.4521005604897181	0.8716236510687682	-2.502201609103219	0.9145003192329663	0.08190447833416371	2.4955279729785023	0.0	-0.9107722627325703	0.36241538000200435	1.4642839138360002
Gleason total	0.012490695159146574	1.0125690297031256	0.300601338694176	-0.5766771023859649	0.6016584927042581	0.5617619460389086	1.8251432784714035	0.0	0.041552360390032336	0.9668555513143015	0.04862772842095615
Line of Therapy in Metastatic Setting	0.42091493125018165	1.5233546830181588	0.31996432675665576	-0.20620362553046923	1.0480334880308324	0.8136673759620295	2.852037034825946	0.0	1.315505811278463	0.18833996557740257	2.4085889238126055
ctDNA level	-0.02185138761935099	0.9783856244644534	0.027125147567915633	-0.07501569992779987	0.031312924689097896	0.9277289209371388	1.0318083316748936	0.0	-0.8055767278183367	0.4204869487708902	1.249867072613176
Metastatic Disease Burden	0.39197618284155655	1.4799024639110787	0.6156665250554049	-0.8147080327539639	1.5986603984370769	0.44276858241495093	4.946401776622822	0.0	0.6366696367100387	0.5243400553161636	0.9314253346545274
Race_Caucasian	0.40319316930186533	1.4965959601399006	0.6485495695398491	-0.8679406291851941	1.6743269677889248	0.4198152148395998	5.335203176861607	0.0	0.6216844297467254	0.5341493918258973	0.904684801094195
AR/enhancer alterations detected in cfDNA_Yes	1.3174969134451102	3.734062986858953	0.9501525838850117	-0.5447679307871851	3.1797617576774053	0.5799763623812854	24.041025280032905	0.0	1.3866161454385466	0.1655588424365733	2.5945840282858486
